canvassim,ZINC06648713-2 ,15a           ,15a-charge      ,15b,15b-charge,21-1,21-2,43,43-charge,55,55-charge,65,70,70-charge,78a,78a-charge,78b,78b-charge,80,81,81-charge,82,83,84,85-1,85-2,85-3,86,96,96-charge,97,97-charge,98,98-charge,99,99-charge,100,100-charge,101,101-charge,102,102-charge,103,103-charge,104,104-charge,105,105-charge,151831        ,CheCOSP01-t,CheCOSP02,CheCOSP03,CheCOSP04-t,CheCOSP05-t,CheCOSP06,CheCOSP07-t,CheCOSP08-t,CheCOSP09,CheCOSP010-c,CheCOSP11-t,CheCOSP12,CheCOSP13-t,CheCOSP14,CheCOSP15-t,CheCOSP19,CheCOSP20,CheCOSP21,CheCOSP22,CheCOSP23,CheCOSP24,CheCOSP25,CheCOSP26,CheCOSP26-charge,CheCOSP27,CheCOSP28,CheCOSP29,CheCOSP30-R,CheCOSP30-R-charge,CheCOSP31,CheCOSP32,CheCOSP33-R,CheCOSP33-R-charge,CheCOSP34,CheCOSP35,CheCOSP35-charge,CheCOSP36-R,CheCOSP36-R-1,CheCOSP37,CheCOSP38,CheCOSP38-charge,CheCOSP39,CheCOSP40,CheCOSP40-charge,CheCOSP41,CheCOSP42-R,CheCOSP43-R,CheCOSP44,CheCOSP45,CheCOSP46,CheCOSP47,CheCOSP48,CheCOSP49,CheCOSP50,CheCOSP51,CheCOSP52,CheCOSP53,CheCOSP54,CheCOSP54-charge,CheCOSP55,CheCOSP56,CheCOSP57-charge,CheCOSP58-R,CheCOSP58-R-1,CheCOSP59,CheCOSP59-charge,CheCOSP60,CheCOSP61,CheCOSP62,CheCOSP62-charge,CheCOSP63,CheCOSP64,CheCOSP64-1,DHN1           ,DHN2           ,LA1011-1        ,LA1011-2       ,LA1014        ,LA1014-charge     ,LA1026-1     ,LA1026-2    ,Novobiocin    ,ZINC06648713-1,ZINC09256574  ,goniothalamin ,CheCOSP57
ZINC06648713-2 ,1,0.359375,0.384615,0.359375,0.384615,0.421875,0.415385,0.4375,0.461538,0.390625,0.4,0.40625,0.390625,0.421875,0.380952,0.412698,0.380952,0.412698,0.380952,0.365079,0.354839,0.403226,0.40625,0.415385,0.409091,0.409091,0.384615,0.40678,0.347826,0.371429,0.347826,0.371429,0.415385,0.439394,0.507692,0.530303,0.359375,0.384615,0.328125,0.353846,0.328125,0.353846,0.328125,0.353846,0.353846,0.378788,0.353846,0.378788,0.538462,0.321429,0.313726,0.346939,0.326531,0.361702,0.33871,0.35,0.35,0.310345,0.321429,0.321429,0.33871,0.35,0.33871,0.35,0.416667,0.368421,0.310345,0.33871,0.346939,0.314815,0.363636,0.354839,0.412698,0.444444,0.396825,0.306122,0.338462,0.373134,0.408163,0.483871,0.354839,0.377049,0.293103,0.4,0.469697,0.416667,0.408451,0.338983,0.459016,0.416667,0.350877,0.451613,0.409836,0.483871,0.378788,0.409091,0.310345,0.33871,0.344262,0.344262,0.344262,0.344262,0.344262,0.344262,0.375,0.375,0.343284,0.363636,0.346939,0.34,0.412698,0.416667,0.408451,0.354839,0.412698,0.444444,0.428571,0.33871,0.396825,0.322581,0.385714,0.380282,0.377049,0.383333,0.318841,0.318841,0.333333,0.267606,0.323529,0.323529,0.338235,0.955556,0.62963,0.183673,0.354839
15a           ,0.359375,1,0.934783,1,0.934783,0.8,0.784314,0.895833,0.843137,0.955556,0.914894,0.816327,0.833333,0.836735,0.869565,0.87234,0.869565,0.87234,0.755102,0.666667,0.693878,0.72,0.816327,0.784314,0.84,0.84,0.893617,0.64,0.877551,0.826923,0.877551,0.826923,0.82,0.773585,0.732143,0.694915,1,0.934783,0.953488,0.891304,0.953488,0.891304,0.953488,0.891304,0.977273,0.914894,0.977273,0.914894,0.490566,0.303571,0.294118,0.25,0.306122,0.26,0.322581,0.333333,0.333333,0.293103,0.303571,0.303571,0.322581,0.333333,0.322581,0.333333,0.313726,0.350877,0.293103,0.322581,0.25,0.296296,0.321429,0.509091,0.54386,0.578947,0.581818,0.188679,0.482759,0.491803,0.307692,0.625,0.40678,0.40678,0.298246,0.607143,0.627119,0.629032,0.622951,0.344828,0.6,0.555556,0.333333,0.589286,0.545455,0.625,0.47541,0.483871,0.293103,0.322581,0.35,0.35,0.35,0.35,0.35,0.35,0.380952,0.380952,0.390625,0.390625,0.25,0.245283,0.54386,0.629032,0.622951,0.509091,0.54386,0.578947,0.534483,0.464286,0.5,0.285714,0.548387,0.539683,0.509091,0.54717,0.525424,0.525424,0.557377,0.534483,0.534483,0.534483,0.384615,0.359375,0.403226,0.266667,0.509091
15a-charge      ,0.384615,0.934783,1,0.934783,1,0.86,0.843137,0.843137,0.901961,0.93617,0.978723,0.877551,0.857143,0.897959,0.893617,0.93617,0.893617,0.93617,0.78,0.692308,0.653846,0.78,0.877551,0.843137,0.9,0.9,0.84,0.7,0.826923,0.884615,0.826923,0.884615,0.773585,0.830189,0.694915,0.745763,0.934783,1,0.891304,0.956522,0.891304,0.956522,0.891304,0.956522,0.914894,0.978723,0.914894,0.978723,0.518519,0.288136,0.277778,0.236364,0.288462,0.245283,0.349206,0.360656,0.360656,0.278689,0.288136,0.288136,0.349206,0.360656,0.349206,0.360656,0.296296,0.333333,0.278689,0.349206,0.236364,0.280702,0.327586,0.482759,0.568965,0.603448,0.551724,0.178571,0.459016,0.516129,0.314815,0.649123,0.409836,0.433333,0.283333,0.576271,0.677966,0.677419,0.672131,0.35,0.625,0.553571,0.338983,0.614035,0.54386,0.649123,0.5,0.532258,0.278689,0.349206,0.354839,0.354839,0.354839,0.354839,0.354839,0.354839,0.428571,0.428571,0.415385,0.4375,0.236364,0.232143,0.568965,0.677419,0.672131,0.482759,0.568965,0.603448,0.559322,0.440678,0.525424,0.3125,0.596774,0.587302,0.508772,0.517857,0.55,0.55,0.606557,0.508197,0.559322,0.559322,0.367647,0.363636,0.428571,0.25,0.482759
15b,0.359375,1,0.934783,1,0.934783,0.8,0.784314,0.895833,0.843137,0.955556,0.914894,0.816327,0.833333,0.836735,0.869565,0.87234,0.869565,0.87234,0.755102,0.666667,0.693878,0.72,0.816327,0.784314,0.84,0.84,0.893617,0.64,0.877551,0.826923,0.877551,0.826923,0.82,0.773585,0.732143,0.694915,1,0.934783,0.953488,0.891304,0.953488,0.891304,0.953488,0.891304,0.977273,0.914894,0.977273,0.914894,0.490566,0.303571,0.294118,0.25,0.306122,0.26,0.322581,0.333333,0.333333,0.293103,0.303571,0.303571,0.322581,0.333333,0.322581,0.333333,0.313726,0.350877,0.293103,0.322581,0.25,0.296296,0.321429,0.509091,0.54386,0.578947,0.581818,0.188679,0.482759,0.491803,0.307692,0.625,0.40678,0.40678,0.298246,0.607143,0.627119,0.629032,0.622951,0.344828,0.6,0.555556,0.333333,0.589286,0.545455,0.625,0.47541,0.483871,0.293103,0.322581,0.35,0.35,0.35,0.35,0.35,0.35,0.380952,0.380952,0.390625,0.390625,0.25,0.245283,0.54386,0.629032,0.622951,0.509091,0.54386,0.578947,0.534483,0.464286,0.5,0.285714,0.548387,0.539683,0.509091,0.54717,0.525424,0.525424,0.557377,0.534483,0.534483,0.534483,0.384615,0.359375,0.403226,0.266667,0.509091
15b-charge,0.384615,0.934783,1,0.934783,1,0.86,0.843137,0.843137,0.901961,0.93617,0.978723,0.877551,0.857143,0.897959,0.893617,0.93617,0.893617,0.93617,0.78,0.692308,0.653846,0.78,0.877551,0.843137,0.9,0.9,0.84,0.7,0.826923,0.884615,0.826923,0.884615,0.773585,0.830189,0.694915,0.745763,0.934783,1,0.891304,0.956522,0.891304,0.956522,0.891304,0.956522,0.914894,0.978723,0.914894,0.978723,0.518519,0.288136,0.277778,0.236364,0.288462,0.245283,0.349206,0.360656,0.360656,0.278689,0.288136,0.288136,0.349206,0.360656,0.349206,0.360656,0.296296,0.333333,0.278689,0.349206,0.236364,0.280702,0.327586,0.482759,0.568965,0.603448,0.551724,0.178571,0.459016,0.516129,0.314815,0.649123,0.409836,0.433333,0.283333,0.576271,0.677966,0.677419,0.672131,0.35,0.625,0.553571,0.338983,0.614035,0.54386,0.649123,0.5,0.532258,0.278689,0.349206,0.354839,0.354839,0.354839,0.354839,0.354839,0.354839,0.428571,0.428571,0.415385,0.4375,0.236364,0.232143,0.568965,0.677419,0.672131,0.482759,0.568965,0.603448,0.559322,0.440678,0.525424,0.3125,0.596774,0.587302,0.508772,0.517857,0.55,0.55,0.606557,0.508197,0.559322,0.559322,0.367647,0.363636,0.428571,0.25,0.482759
21-1,0.421875,0.8,0.86,0.8,0.86,1,0.979167,0.727273,0.781818,0.803922,0.843137,0.897959,0.769231,0.807692,0.8,0.84,0.8,0.84,0.764706,0.745098,0.705882,0.8,0.86,0.826923,0.882353,0.882353,0.823529,0.686275,0.745455,0.8,0.745455,0.8,0.666667,0.719298,0.655738,0.704918,0.8,0.86,0.76,0.82,0.76,0.82,0.76,0.82,0.784314,0.843137,0.784314,0.843137,0.566038,0.262295,0.272727,0.232143,0.283019,0.240741,0.34375,0.354839,0.354839,0.253968,0.262295,0.262295,0.34375,0.354839,0.34375,0.354839,0.314815,0.327869,0.253968,0.34375,0.232143,0.275862,0.344828,0.5,0.586207,0.59322,0.568965,0.175439,0.428571,0.484375,0.309091,0.637931,0.380952,0.403226,0.278689,0.62069,0.724138,0.640625,0.634921,0.344262,0.642857,0.571429,0.355932,0.631579,0.561404,0.637931,0.46875,0.5,0.253968,0.34375,0.328125,0.328125,0.328125,0.328125,0.328125,0.328125,0.378788,0.378788,0.38806,0.409091,0.232143,0.22807,0.586207,0.640625,0.634921,0.5,0.586207,0.59322,0.55,0.457627,0.542373,0.307692,0.612903,0.603175,0.5,0.482759,0.59322,0.59322,0.65,0.55,0.603448,0.603448,0.382353,0.4,0.467742,0.196078,0.5
21-2,0.415385,0.784314,0.843137,0.784314,0.843137,0.979167,1,0.714286,0.767857,0.788462,0.826923,0.88,0.754717,0.792453,0.784314,0.823529,0.784314,0.823529,0.75,0.730769,0.692308,0.784314,0.843137,0.811321,0.865385,0.865385,0.807692,0.673077,0.732143,0.785714,0.732143,0.785714,0.655172,0.706897,0.645161,0.693548,0.784314,0.843137,0.745098,0.803922,0.745098,0.803922,0.745098,0.803922,0.769231,0.826923,0.769231,0.826923,0.555556,0.278689,0.267857,0.22807,0.277778,0.236364,0.359375,0.370968,0.370968,0.269841,0.278689,0.278689,0.359375,0.370968,0.359375,0.370968,0.309091,0.344262,0.269841,0.359375,0.22807,0.271186,0.338983,0.491525,0.576271,0.583333,0.559322,0.172414,0.421875,0.476923,0.303571,0.627119,0.375,0.396825,0.274194,0.610169,0.711864,0.630769,0.625,0.33871,0.631579,0.561404,0.35,0.62069,0.551724,0.627119,0.461538,0.492308,0.269841,0.359375,0.34375,0.34375,0.34375,0.34375,0.34375,0.34375,0.393939,0.393939,0.402985,0.424242,0.22807,0.224138,0.576271,0.630769,0.625,0.491525,0.576271,0.583333,0.540984,0.45,0.533333,0.323077,0.603175,0.59375,0.491525,0.474576,0.583333,0.583333,0.639344,0.540984,0.59322,0.59322,0.376812,0.415385,0.483871,0.192308,0.491525
43,0.4375,0.895833,0.843137,0.895833,0.843137,0.727273,0.714286,1,0.941176,0.86,0.826923,0.740741,0.754717,0.759259,0.784314,0.788462,0.784314,0.788462,0.685185,0.607143,0.62963,0.654545,0.740741,0.714286,0.763636,0.763636,0.807692,0.581818,0.796296,0.754386,0.796296,0.754386,0.745455,0.706897,0.789474,0.75,0.895833,0.843137,0.854167,0.803922,0.854167,0.803922,0.854167,0.803922,0.877551,0.826923,0.877551,0.826923,0.448276,0.278689,0.267857,0.22807,0.277778,0.236364,0.298507,0.307692,0.307692,0.269841,0.278689,0.278689,0.298507,0.307692,0.298507,0.307692,0.285714,0.322581,0.269841,0.298507,0.22807,0.271186,0.295082,0.466667,0.5,0.532258,0.533333,0.172414,0.444444,0.454545,0.280702,0.57377,0.375,0.375,0.274194,0.557377,0.578125,0.58209,0.575758,0.31746,0.55,0.508475,0.306452,0.540984,0.5,0.57377,0.439394,0.447761,0.269841,0.298507,0.323077,0.323077,0.323077,0.323077,0.323077,0.323077,0.352941,0.352941,0.362319,0.362319,0.22807,0.224138,0.5,0.58209,0.575758,0.466667,0.5,0.532258,0.492063,0.42623,0.460317,0.264706,0.507463,0.5,0.466667,0.5,0.484375,0.484375,0.515152,0.492063,0.492063,0.492063,0.357143,0.4375,0.483871,0.24,0.466667
43-charge,0.461538,0.843137,0.901961,0.843137,0.901961,0.781818,0.767857,0.941176,1,0.846154,0.884615,0.796296,0.777778,0.814815,0.807692,0.846154,0.807692,0.846154,0.709091,0.631579,0.596491,0.709091,0.796296,0.767857,0.818182,0.818182,0.763636,0.636364,0.754386,0.807018,0.754386,0.807018,0.706897,0.758621,0.75,0.8,0.843137,0.901961,0.803922,0.862745,0.803922,0.862745,0.803922,0.862745,0.826923,0.884615,0.826923,0.884615,0.474576,0.265625,0.254237,0.216667,0.263158,0.224138,0.323529,0.333333,0.333333,0.257576,0.265625,0.265625,0.323529,0.333333,0.323529,0.333333,0.271186,0.307692,0.257576,0.323529,0.216667,0.258065,0.301587,0.444444,0.52381,0.555556,0.507937,0.163934,0.424242,0.477612,0.288136,0.596774,0.378788,0.4,0.261538,0.53125,0.625,0.626866,0.621212,0.323077,0.57377,0.508197,0.3125,0.564516,0.5,0.596774,0.462687,0.492537,0.257576,0.323529,0.328358,0.328358,0.328358,0.328358,0.328358,0.328358,0.397059,0.397059,0.385714,0.405797,0.216667,0.213115,0.52381,0.626866,0.621212,0.444444,0.52381,0.555556,0.515625,0.40625,0.484375,0.289855,0.552239,0.544118,0.467742,0.47541,0.507692,0.507692,0.560606,0.469697,0.515625,0.515625,0.342466,0.439394,0.507937,0.226415,0.444444
55,0.390625,0.955556,0.93617,0.955556,0.93617,0.803922,0.788462,0.86,0.846154,1,0.957447,0.82,0.875,0.877551,0.87234,0.875,0.87234,0.875,0.72549,0.641509,0.666667,0.72549,0.82,0.788462,0.843137,0.843137,0.857143,0.647059,0.843137,0.830189,0.843137,0.830189,0.823529,0.811321,0.736842,0.728814,0.955556,0.93617,0.911111,0.893617,0.911111,0.893617,0.911111,0.893617,0.934783,0.916667,0.934783,0.916667,0.5,0.315789,0.307692,0.264151,0.32,0.27451,0.354839,0.366667,0.366667,0.305085,0.315789,0.315789,0.354839,0.366667,0.354839,0.366667,0.326923,0.362069,0.305085,0.354839,0.264151,0.309091,0.333333,0.517857,0.551724,0.586207,0.589286,0.203704,0.491525,0.5,0.320755,0.631579,0.416667,0.416667,0.310345,0.614035,0.661017,0.66129,0.655738,0.355932,0.607143,0.563636,0.344828,0.596491,0.553571,0.631579,0.483871,0.516129,0.305085,0.354839,0.383333,0.383333,0.383333,0.383333,0.383333,0.383333,0.412698,0.412698,0.421875,0.421875,0.264151,0.259259,0.551724,0.66129,0.655738,0.517857,0.551724,0.586207,0.542373,0.473684,0.508475,0.31746,0.580645,0.571429,0.517857,0.527273,0.508197,0.508197,0.564516,0.516667,0.516667,0.516667,0.373134,0.390625,0.412698,0.255319,0.517857
55-charge,0.4,0.914894,0.978723,0.914894,0.978723,0.843137,0.826923,0.826923,0.884615,0.957447,1,0.86,0.877551,0.918367,0.875,0.916667,0.875,0.916667,0.764706,0.679245,0.641509,0.764706,0.86,0.826923,0.882353,0.882353,0.823529,0.686275,0.811321,0.867925,0.811321,0.867925,0.792453,0.849057,0.711864,0.762712,0.914894,0.978723,0.87234,0.93617,0.87234,0.93617,0.87234,0.93617,0.895833,0.958333,0.895833,0.958333,0.509091,0.305085,0.296296,0.254545,0.307692,0.264151,0.365079,0.377049,0.377049,0.295082,0.305085,0.305085,0.365079,0.377049,0.365079,0.377049,0.314815,0.35,0.295082,0.365079,0.254545,0.298246,0.344828,0.5,0.586207,0.62069,0.568965,0.196429,0.47541,0.532258,0.333333,0.666667,0.42623,0.45,0.3,0.59322,0.694915,0.693548,0.688525,0.366667,0.642857,0.571429,0.355932,0.631579,0.561404,0.666667,0.516129,0.548387,0.295082,0.365079,0.370968,0.370968,0.370968,0.370968,0.370968,0.370968,0.444444,0.444444,0.430769,0.453125,0.254545,0.25,0.586207,0.693548,0.688525,0.5,0.586207,0.62069,0.576271,0.457627,0.542373,0.328125,0.612903,0.603175,0.5,0.508772,0.540984,0.540984,0.596774,0.5,0.55,0.55,0.362319,0.378788,0.421875,0.244898,0.5
65,0.40625,0.816327,0.877551,0.816327,0.877551,0.897959,0.88,0.740741,0.796296,0.82,0.86,1,0.82,0.86,0.816327,0.857143,0.816327,0.857143,0.745098,0.72549,0.686275,0.78,0.877551,0.843137,0.9,0.9,0.84,0.7,0.759259,0.814815,0.759259,0.814815,0.678571,0.732143,0.639344,0.688525,0.816327,0.877551,0.77551,0.836735,0.77551,0.836735,0.77551,0.836735,0.8,0.86,0.8,0.86,0.54717,0.266667,0.277778,0.236364,0.288462,0.245283,0.328125,0.33871,0.33871,0.258065,0.266667,0.266667,0.328125,0.33871,0.328125,0.33871,0.320755,0.333333,0.258065,0.328125,0.236364,0.280702,0.327586,0.482759,0.568965,0.576271,0.578947,0.178571,0.412698,0.46875,0.314815,0.62069,0.365079,0.387097,0.262295,0.631579,0.736842,0.650794,0.645161,0.327869,0.625,0.553571,0.338983,0.614035,0.54386,0.62069,0.453125,0.507937,0.258065,0.328125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.384615,0.384615,0.373134,0.393939,0.236364,0.232143,0.568965,0.650794,0.645161,0.482759,0.568965,0.576271,0.533333,0.440678,0.525424,0.292308,0.622951,0.612903,0.457627,0.465517,0.603448,0.603448,0.633333,0.533333,0.614035,0.614035,0.367647,0.384615,0.451613,0.2,0.482759
70,0.390625,0.833333,0.857143,0.833333,0.857143,0.769231,0.754717,0.754717,0.777778,0.875,0.877551,0.82,1,0.957447,0.955556,0.914894,0.955556,0.914894,0.692308,0.611111,0.603774,0.692308,0.82,0.788462,0.843137,0.843137,0.82,0.647059,0.773585,0.796296,0.773585,0.796296,0.722222,0.745455,0.677966,0.7,0.833333,0.857143,0.791667,0.816327,0.791667,0.816327,0.791667,0.816327,0.816327,0.84,0.816327,0.84,0.472727,0.315789,0.307692,0.264151,0.32,0.27451,0.4,0.413793,0.413793,0.305085,0.315789,0.315789,0.4,0.413793,0.4,0.413793,0.352941,0.385965,0.305085,0.4,0.264151,0.309091,0.357143,0.545455,0.578947,0.614035,0.648148,0.203704,0.491525,0.52459,0.320755,0.660714,0.440678,0.440678,0.333333,0.672727,0.719298,0.716667,0.711864,0.37931,0.636364,0.592593,0.368421,0.625,0.581818,0.660714,0.460317,0.516129,0.305085,0.4,0.360656,0.360656,0.360656,0.360656,0.360656,0.360656,0.459016,0.459016,0.421875,0.421875,0.264151,0.259259,0.578947,0.716667,0.711864,0.545455,0.578947,0.614035,0.568965,0.5,0.534483,0.360656,0.606557,0.596774,0.465517,0.473684,0.559322,0.559322,0.616667,0.568965,0.568965,0.568965,0.352941,0.390625,0.435484,0.255319,0.545455
70-charge,0.421875,0.836735,0.897959,0.836735,0.897959,0.807692,0.792453,0.759259,0.814815,0.877551,0.918367,0.86,0.957447,1,0.914894,0.957447,0.914894,0.957447,0.730769,0.648148,0.611111,0.730769,0.86,0.826923,0.882353,0.882353,0.823529,0.686275,0.777778,0.833333,0.777778,0.833333,0.727273,0.781818,0.683333,0.733333,0.836735,0.897959,0.795918,0.857143,0.795918,0.857143,0.795918,0.857143,0.82,0.88,0.82,0.88,0.509091,0.305085,0.296296,0.254545,0.307692,0.264151,0.387097,0.4,0.4,0.295082,0.305085,0.305085,0.387097,0.4,0.387097,0.4,0.339623,0.372881,0.295082,0.387097,0.254545,0.298246,0.368421,0.526316,0.614035,0.649123,0.625,0.196429,0.5,0.557377,0.333333,0.696429,0.45,0.474576,0.322034,0.649123,0.754386,0.75,0.745763,0.38983,0.672727,0.6,0.37931,0.660714,0.589286,0.696429,0.492063,0.548387,0.295082,0.387097,0.370968,0.370968,0.370968,0.370968,0.370968,0.370968,0.467742,0.467742,0.409091,0.430769,0.254545,0.25,0.614035,0.75,0.745763,0.526316,0.614035,0.649123,0.603448,0.482759,0.568965,0.349206,0.639344,0.629032,0.45,0.457627,0.59322,0.59322,0.65,0.55,0.603448,0.603448,0.342857,0.4,0.444444,0.244898,0.526316
78a,0.380952,0.869565,0.893617,0.869565,0.893617,0.8,0.784314,0.784314,0.807692,0.87234,0.875,0.816327,0.955556,0.914894,1,0.955556,1,0.955556,0.72,0.634615,0.627451,0.72,0.816327,0.784314,0.84,0.84,0.816327,0.64,0.803922,0.826923,0.803922,0.826923,0.716981,0.740741,0.672414,0.694915,0.869565,0.893617,0.826087,0.851064,0.826087,0.851064,0.826087,0.851064,0.851064,0.875,0.851064,0.875,0.490566,0.303571,0.294118,0.25,0.306122,0.26,0.38983,0.403509,0.403509,0.293103,0.303571,0.303571,0.38983,0.403509,0.38983,0.403509,0.34,0.375,0.293103,0.38983,0.25,0.296296,0.345455,0.537037,0.571429,0.607143,0.611111,0.188679,0.482759,0.516667,0.307692,0.654545,0.431034,0.431034,0.321429,0.636364,0.684211,0.683333,0.677966,0.368421,0.62963,0.584906,0.357143,0.618182,0.574074,0.654545,0.451613,0.483871,0.293103,0.38983,0.35,0.35,0.35,0.35,0.35,0.35,0.45,0.45,0.412698,0.412698,0.25,0.245283,0.571429,0.683333,0.677966,0.537037,0.571429,0.607143,0.561404,0.490909,0.526316,0.35,0.57377,0.564516,0.482143,0.490909,0.551724,0.551724,0.610169,0.561404,0.561404,0.561404,0.363636,0.380952,0.45,0.266667,0.537037
78a-charge,0.412698,0.87234,0.93617,0.87234,0.93617,0.84,0.823529,0.788462,0.846154,0.875,0.916667,0.857143,0.914894,0.957447,0.955556,1,0.955556,1,0.76,0.673077,0.634615,0.76,0.857143,0.823529,0.88,0.88,0.82,0.68,0.807692,0.865385,0.807692,0.865385,0.722222,0.777778,0.677966,0.728814,0.87234,0.93617,0.829787,0.893617,0.829787,0.893617,0.829787,0.893617,0.854167,0.916667,0.854167,0.916667,0.528302,0.293103,0.283019,0.240741,0.294118,0.25,0.377049,0.38983,0.38983,0.283333,0.293103,0.293103,0.377049,0.38983,0.377049,0.38983,0.326923,0.362069,0.283333,0.377049,0.240741,0.285714,0.357143,0.517857,0.607143,0.642857,0.589286,0.181818,0.491525,0.55,0.320755,0.690909,0.440678,0.465517,0.310345,0.614035,0.719298,0.716667,0.711864,0.37931,0.666667,0.592593,0.368421,0.654545,0.581818,0.690909,0.483871,0.516129,0.283333,0.377049,0.360656,0.360656,0.360656,0.360656,0.360656,0.360656,0.459016,0.459016,0.4,0.421875,0.240741,0.236364,0.607143,0.716667,0.711864,0.517857,0.607143,0.642857,0.596491,0.473684,0.561404,0.33871,0.606557,0.596774,0.465517,0.473684,0.586207,0.586207,0.644068,0.542373,0.596491,0.596491,0.352941,0.390625,0.459016,0.255319,0.517857
78b,0.380952,0.869565,0.893617,0.869565,0.893617,0.8,0.784314,0.784314,0.807692,0.87234,0.875,0.816327,0.955556,0.914894,1,0.955556,1,0.955556,0.72,0.634615,0.627451,0.72,0.816327,0.784314,0.84,0.84,0.816327,0.64,0.803922,0.826923,0.803922,0.826923,0.716981,0.740741,0.672414,0.694915,0.869565,0.893617,0.826087,0.851064,0.826087,0.851064,0.826087,0.851064,0.851064,0.875,0.851064,0.875,0.490566,0.303571,0.294118,0.25,0.306122,0.26,0.38983,0.403509,0.403509,0.293103,0.303571,0.303571,0.38983,0.403509,0.38983,0.403509,0.34,0.375,0.293103,0.38983,0.25,0.296296,0.345455,0.537037,0.571429,0.607143,0.611111,0.188679,0.482759,0.516667,0.307692,0.654545,0.431034,0.431034,0.321429,0.636364,0.684211,0.683333,0.677966,0.368421,0.62963,0.584906,0.357143,0.618182,0.574074,0.654545,0.451613,0.483871,0.293103,0.38983,0.35,0.35,0.35,0.35,0.35,0.35,0.45,0.45,0.412698,0.412698,0.25,0.245283,0.571429,0.683333,0.677966,0.537037,0.571429,0.607143,0.561404,0.490909,0.526316,0.35,0.57377,0.564516,0.482143,0.490909,0.551724,0.551724,0.610169,0.561404,0.561404,0.561404,0.363636,0.380952,0.45,0.266667,0.537037
78b-charge,0.412698,0.87234,0.93617,0.87234,0.93617,0.84,0.823529,0.788462,0.846154,0.875,0.916667,0.857143,0.914894,0.957447,0.955556,1,0.955556,1,0.76,0.673077,0.634615,0.76,0.857143,0.823529,0.88,0.88,0.82,0.68,0.807692,0.865385,0.807692,0.865385,0.722222,0.777778,0.677966,0.728814,0.87234,0.93617,0.829787,0.893617,0.829787,0.893617,0.829787,0.893617,0.854167,0.916667,0.854167,0.916667,0.528302,0.293103,0.283019,0.240741,0.294118,0.25,0.377049,0.38983,0.38983,0.283333,0.293103,0.293103,0.377049,0.38983,0.377049,0.38983,0.326923,0.362069,0.283333,0.377049,0.240741,0.285714,0.357143,0.517857,0.607143,0.642857,0.589286,0.181818,0.491525,0.55,0.320755,0.690909,0.440678,0.465517,0.310345,0.614035,0.719298,0.716667,0.711864,0.37931,0.666667,0.592593,0.368421,0.654545,0.581818,0.690909,0.483871,0.516129,0.283333,0.377049,0.360656,0.360656,0.360656,0.360656,0.360656,0.360656,0.459016,0.459016,0.4,0.421875,0.240741,0.236364,0.607143,0.716667,0.711864,0.517857,0.607143,0.642857,0.596491,0.473684,0.561404,0.33871,0.606557,0.596774,0.465517,0.473684,0.586207,0.586207,0.644068,0.542373,0.596491,0.596491,0.352941,0.390625,0.459016,0.255319,0.517857
80,0.380952,0.755102,0.78,0.755102,0.78,0.764706,0.75,0.685185,0.709091,0.72549,0.764706,0.745098,0.692308,0.730769,0.72,0.76,0.72,0.76,1,0.847826,0.804348,0.954545,0.78,0.75,0.803922,0.803922,0.78,0.782609,0.735849,0.759259,0.735849,0.759259,0.625,0.649123,0.590164,0.612903,0.755102,0.78,0.714286,0.74,0.714286,0.74,0.714286,0.74,0.74,0.764706,0.74,0.764706,0.519231,0.237288,0.269231,0.226415,0.28,0.235294,0.322581,0.333333,0.333333,0.229508,0.237288,0.237288,0.322581,0.333333,0.322581,0.333333,0.313726,0.305085,0.229508,0.322581,0.226415,0.272727,0.37037,0.566038,0.660377,0.730769,0.5,0.166667,0.535714,0.596491,0.307692,0.784314,0.431034,0.45614,0.298246,0.525424,0.6,0.578125,0.571429,0.368421,0.72549,0.647059,0.381818,0.711538,0.634615,0.784314,0.525424,0.533333,0.229508,0.322581,0.306452,0.306452,0.306452,0.306452,0.306452,0.306452,0.380952,0.380952,0.390625,0.412698,0.226415,0.222222,0.660377,0.578125,0.571429,0.566038,0.660377,0.730769,0.679245,0.518519,0.611111,0.285714,0.6,0.590164,0.45614,0.490909,0.578947,0.578947,0.557377,0.483333,0.589286,0.589286,0.363636,0.359375,0.380952,0.212766,0.566038
