canvassim,ZINC06648713-2 ,15a           ,15a-charge      ,15b,15b-charge,21-1,21-2,43,43-charge,55,55-charge,65,70,70-charge,78a,78a-charge,78b,78b-charge,80,81,81-charge,82,83,84,85-1,85-2,85-3,86,96,96-charge,97,97-charge,98,98-charge,99,99-charge,100,100-charge,101,101-charge,102,102-charge,103,103-charge,104,104-charge,105,105-charge,151831        ,CheCOSP01-t,CheCOSP02,CheCOSP03,CheCOSP04-t,CheCOSP05-t,CheCOSP06,CheCOSP07-t,CheCOSP08-t,CheCOSP09,CheCOSP010-c,CheCOSP11-t,CheCOSP12,CheCOSP13-t,CheCOSP14,CheCOSP15-t,CheCOSP19,CheCOSP20,CheCOSP21,CheCOSP22,CheCOSP23,CheCOSP24,CheCOSP25,CheCOSP26,CheCOSP26-charge,CheCOSP27,CheCOSP28,CheCOSP29,CheCOSP30-R,CheCOSP30-R-charge,CheCOSP31,CheCOSP32,CheCOSP33-R,CheCOSP33-R-charge,CheCOSP34,CheCOSP35,CheCOSP35-charge,CheCOSP36-R,CheCOSP36-R-1,CheCOSP37,CheCOSP38,CheCOSP38-charge,CheCOSP39,CheCOSP40,CheCOSP40-charge,CheCOSP41,CheCOSP42-R,CheCOSP43-R,CheCOSP44,CheCOSP45,CheCOSP46,CheCOSP47,CheCOSP48,CheCOSP49,CheCOSP50,CheCOSP51,CheCOSP52,CheCOSP53,CheCOSP54,CheCOSP54-charge,CheCOSP55,CheCOSP56,CheCOSP57-charge,CheCOSP58-R,CheCOSP58-R-1,CheCOSP59,CheCOSP59-charge,CheCOSP60,CheCOSP61,CheCOSP62,CheCOSP62-charge,CheCOSP63,CheCOSP64,CheCOSP64-1,DHN1           ,DHN2           ,LA1011-1        ,LA1011-2       ,LA1014        ,LA1014-charge     ,LA1026-1     ,LA1026-2    ,Novobiocin    ,ZINC06648713-1,ZINC09256574  ,goniothalamin ,CheCOSP57
ZINC06648713-2 ,1,0.0611111,0.0614525,0.0611111,0.0611111,0.0597826,0.0597826,0.0611111,0.0611111,0.0597826,0.0601093,0.0575916,0.0585106,0.0585106,0.0597826,0.0597826,0.0597826,0.0597826,0.0611111,0.0639535,0.0639535,0.0601093,0.0588235,0.0582011,0.0575916,0.0575916,0.0575916,0.0578947,0.0561798,0.0564972,0.0578035,0.0581395,0.0858896,0.0864198,0.0614525,0.0617978,0.0632184,0.0632184,0.0643275,0.0647059,0.0662651,0.0662651,0.0580645,0.0580645,0.0611111,0.0614525,0.0591398,0.0591398,0.0901639,0.0538922,0.0687023,0.0620155,0.0638298,0.057554,0.0621118,0.0584795,0.0584795,0.0573248,0.0538922,0.0542169,0.0621118,0.0584795,0.0621118,0.0584795,0.0652174,0.060241,0.0576923,0.0621118,0.0620155,0.0597015,0.0928571,0.0694444,0.0694444,0.0675676,0.083871,0.0396825,0.0662252,0.0662252,0.0769231,0.0797546,0.0684932,0.0684932,0.0719424,0.0833333,0.0833333,0.0613497,0.0613497,0.0684932,0.089172,0.089172,0.06875,0.081761,0.081761,0.0797546,0.0653595,0.0632911,0.0573248,0.0621118,0.0645161,0.0641026,0.0645161,0.0641026,0.0645161,0.0645161,0.0621118,0.0621118,0.0621118,0.0621118,0.0620155,0.0592593,0.0694444,0.0613497,0.0613497,0.0694444,0.0694444,0.0675676,0.0551724,0.0567376,0.0567376,0.0443038,0.0598802,0.0598802,0.0759494,0.0969697,0.0661765,0.0661765,0.0576923,0.0576923,0.0763359,0.0763359,0.08,1,0.296875,0.0650406,0.0694444
15a           ,0.0611111,1,0.717742,0.739837,0.528571,0.388535,0.371069,0.550725,0.38961,0.503448,0.339506,0.315789,0.432258,0.283237,0.397436,0.260116,0.493151,0.329268,0.658915,0.688525,0.688525,0.643939,0.444444,0.43871,0.461039,0.461039,0.461039,0.426752,0.517986,0.346154,0.50365,0.331169,0.438849,0.275641,0.42,0.269461,0.444444,0.3,0.653226,0.446809,0.315789,0.190476,0.326241,0.191083,0.712,0.5,0.47651,0.333333,0.0612245,0.0585106,0.0723684,0.0322581,0.0679012,0.030303,0.0659341,0.0625,0.0625,0.0617978,0.0585106,0.0588235,0.0659341,0.0625,0.0659341,0.0625,0.0365854,0.0641711,0.0621469,0.0659341,0.0322581,0.0714286,0.0731707,0.0727273,0.0727273,0.0710059,0.079096,0.0266667,0.0697674,0.0697674,0.0473373,0.0815217,0.0591716,0.0591716,0.0617284,0.0971429,0.0971429,0.0828729,0.0828729,0.0591716,0.0837989,0.0837989,0.0543478,0.0833333,0.0833333,0.0815217,0.0689655,0.0670391,0.0617978,0.0659341,0.0681818,0.0677966,0.0681818,0.0677966,0.0681818,0.0681818,0.0659341,0.0659341,0.0659341,0.0659341,0.0322581,0.0310559,0.0727273,0.0828729,0.0828729,0.0727273,0.0727273,0.0710059,0.0731707,0.075,0.075,0.0621469,0.0695187,0.0695187,0.0722222,0.102703,0.105263,0.105263,0.0930233,0.0930233,0.100671,0.100671,0.0863636,0.0611111,0.0558659,0.0769231,0.0727273
15a-charge      ,0.0614525,0.717742,1,0.521429,0.745902,0.373418,0.373418,0.383117,0.468966,0.339506,0.5,0.349398,0.284884,0.315476,0.261628,0.291667,0.331288,0.36478,0.664062,0.694215,0.694215,0.648855,0.447368,0.441558,0.445161,0.445161,0.445161,0.420382,0.346154,0.431507,0.331169,0.416667,0.275641,0.356164,0.269461,0.416107,0.29375,0.370861,0.446809,0.650406,0.184524,0.317881,0.184713,0.256757,0.5,0.606061,0.327273,0.403846,0.0616438,0.0588235,0.0728477,0.0324675,0.068323,0.0304878,0.0662983,0.0628272,0.0628272,0.0621469,0.0588235,0.0591398,0.0662983,0.0628272,0.0662983,0.0628272,0.0368098,0.0645161,0.0625,0.0662983,0.0324675,0.0718954,0.0736196,0.0731707,0.0731707,0.0714286,0.0795455,0.0268456,0.0701754,0.0701754,0.047619,0.0819672,0.0595238,0.0595238,0.0621118,0.0852273,0.0852273,0.0714286,0.0714286,0.0595238,0.0842697,0.0842697,0.0546448,0.0837989,0.0837989,0.0819672,0.0632184,0.0614525,0.0621469,0.0662983,0.0685714,0.0681818,0.0685714,0.0681818,0.0685714,0.0685714,0.0662983,0.0662983,0.0662983,0.0662983,0.0324675,0.03125,0.0731707,0.0714286,0.0714286,0.0731707,0.0731707,0.0714286,0.0736196,0.0754717,0.0754717,0.0625,0.0698925,0.0698925,0.0726257,0.103261,0.10596,0.10596,0.0935673,0.0935673,0.101351,0.101351,0.086758,0.0614525,0.0561798,0.0774648,0.0731707
15b,0.0611111,0.739837,0.521429,1,0.712,0.388535,0.434211,0.550725,0.380645,0.463087,0.307229,0.271186,0.432258,0.290698,0.397436,0.267442,0.493151,0.337423,0.475862,0.492754,0.492754,0.466216,0.613139,0.604317,0.630435,0.630435,0.630435,0.588652,0.379085,0.235294,0.364238,0.220238,0.342282,0.198795,0.33125,0.19774,0.552239,0.377483,0.485507,0.316129,0.388889,0.242236,0.385185,0.230263,0.528571,0.356688,0.582734,0.410256,0.0612245,0.0585106,0.0723684,0.0322581,0.0679012,0.030303,0.0659341,0.0625,0.0625,0.0617978,0.0585106,0.0588235,0.0659341,0.0625,0.0659341,0.0625,0.0365854,0.0641711,0.0621469,0.0659341,0.0322581,0.0714286,0.0731707,0.0727273,0.0727273,0.0710059,0.079096,0.0266667,0.0697674,0.0697674,0.0473373,0.0815217,0.0591716,0.0591716,0.068323,0.0971429,0.0971429,0.0828729,0.0828729,0.0591716,0.0837989,0.0837989,0.0543478,0.0833333,0.0833333,0.0815217,0.0689655,0.0670391,0.0617978,0.0659341,0.0681818,0.0677966,0.0681818,0.0677966,0.0681818,0.0681818,0.0659341,0.0659341,0.0659341,0.0659341,0.0322581,0.0310559,0.0727273,0.0828729,0.0828729,0.0727273,0.0727273,0.0710059,0.0731707,0.075,0.075,0.0621469,0.0695187,0.0695187,0.0722222,0.102703,0.105263,0.105263,0.0930233,0.0930233,0.100671,0.100671,0.0863636,0.0611111,0.0558659,0.0769231,0.0727273
15b-charge,0.0611111,0.528571,0.745902,0.712,1,0.371069,0.434211,0.380645,0.465753,0.313253,0.466216,0.30814,0.283237,0.321429,0.260116,0.297619,0.329268,0.371069,0.486111,0.50365,0.50365,0.47619,0.613139,0.604317,0.607143,0.607143,0.607143,0.577465,0.241176,0.3125,0.22619,0.297468,0.204819,0.275641,0.20339,0.333333,0.377483,0.464789,0.322581,0.489051,0.242236,0.388889,0.230263,0.307692,0.363057,0.44898,0.410256,0.496599,0.0612245,0.0585106,0.0723684,0.0322581,0.0679012,0.030303,0.0659341,0.0625,0.0625,0.0617978,0.0585106,0.0588235,0.0659341,0.0625,0.0659341,0.0625,0.0365854,0.0641711,0.0621469,0.0659341,0.0322581,0.0714286,0.0731707,0.0727273,0.0727273,0.0710059,0.079096,0.0266667,0.0697674,0.0697674,0.0473373,0.0815217,0.0591716,0.0591716,0.068323,0.0847458,0.0847458,0.0710383,0.0710383,0.0591716,0.0837989,0.0837989,0.0543478,0.0833333,0.0833333,0.0815217,0.0628571,0.0611111,0.0617978,0.0659341,0.0681818,0.0677966,0.0681818,0.0677966,0.0681818,0.0681818,0.0659341,0.0659341,0.0659341,0.0659341,0.0322581,0.0310559,0.0727273,0.0710383,0.0710383,0.0727273,0.0727273,0.0710059,0.0731707,0.075,0.075,0.0621469,0.0695187,0.0695187,0.0722222,0.102703,0.105263,0.105263,0.0930233,0.0930233,0.100671,0.100671,0.0863636,0.0611111,0.0558659,0.0769231,0.0727273
21-1,0.0597826,0.388535,0.373418,0.388535,0.371069,1,0.620438,0.345679,0.3625,0.247191,0.234637,0.218085,0.234973,0.221622,0.240223,0.226519,0.240223,0.226519,0.388535,0.4,0.4,0.38125,0.363636,0.359281,0.363095,0.363095,0.363095,0.349112,0.149733,0.163043,0.135135,0.148352,0.114754,0.127778,0.118557,0.107692,0.261905,0.277108,0.215116,0.202312,0.159091,0.146067,0.157576,0.171779,0.252874,0.269006,0.294798,0.309942,0.0596026,0.0463918,0.0705128,0.0314465,0.0662651,0.0295858,0.0531915,0.050505,0.050505,0.048913,0.0463918,0.0466321,0.0531915,0.050505,0.0531915,0.050505,0.0357143,0.0518135,0.0491803,0.0531915,0.0314465,0.0696203,0.0843373,0.0838323,0.0838323,0.0818713,0.0893855,0.025974,0.0994152,0.0994152,0.0462428,0.0913979,0.0892857,0.0892857,0.0931677,0.0949721,0.0949721,0.0989011,0.0989011,0.0892857,0.0939227,0.0939227,0.0645161,0.0934066,0.0934066,0.0913979,0.0982659,0.0955056,0.048913,0.0531915,0.0607735,0.0604396,0.0607735,0.0604396,0.0607735,0.0607735,0.0531915,0.0531915,0.0531915,0.0531915,0.0314465,0.030303,0.0838323,0.0989011,0.0989011,0.0838323,0.0838323,0.0818713,0.0843373,0.0864198,0.0864198,0.0491803,0.0967742,0.0967742,0.0706522,0.100529,0.0886076,0.0886076,0.0786517,0.0786517,0.0909091,0.0909091,0.08,0.0597826,0.0546448,0.0748299,0.0838323
21-2,0.0597826,0.371069,0.373418,0.434211,0.434211,0.620438,1,0.329268,0.3625,0.233333,0.234637,0.218085,0.221622,0.234973,0.226519,0.240223,0.226519,0.240223,0.388535,0.4,0.4,0.38125,0.424051,0.41875,0.42236,0.42236,0.42236,0.398773,0.137566,0.163043,0.122995,0.148352,0.102703,0.127778,0.107143,0.107692,0.300613,0.333333,0.201149,0.202312,0.179191,0.179191,0.171779,0.201258,0.238636,0.269006,0.333333,0.365854,0.0596026,0.0463918,0.0705128,0.0314465,0.0662651,0.0295858,0.0531915,0.050505,0.050505,0.048913,0.0463918,0.0466321,0.0531915,0.050505,0.0531915,0.050505,0.0357143,0.0518135,0.0491803,0.0531915,0.0314465,0.0696203,0.0843373,0.0838323,0.0838323,0.0818713,0.0893855,0.025974,0.0994152,0.0994152,0.0462428,0.0913979,0.0892857,0.0892857,0.1,0.0949721,0.0949721,0.0989011,0.0989011,0.0892857,0.0939227,0.0939227,0.0645161,0.0934066,0.0934066,0.0913979,0.091954,0.0893855,0.048913,0.0531915,0.0607735,0.0604396,0.0607735,0.0604396,0.0607735,0.0607735,0.0531915,0.0531915,0.0531915,0.0531915,0.0314465,0.030303,0.0838323,0.0989011,0.0989011,0.0838323,0.0838323,0.0818713,0.0843373,0.0864198,0.0864198,0.0491803,0.0967742,0.0967742,0.0706522,0.100529,0.0886076,0.0886076,0.0786517,0.0786517,0.0909091,0.0909091,0.08,0.0597826,0.0546448,0.0748299,0.0838323
43,0.0611111,0.550725,0.383117,0.550725,0.380645,0.345679,0.329268,1,0.712,0.397436,0.261628,0.222826,0.3875,0.254237,0.397436,0.260116,0.397436,0.260116,0.35443,0.364238,0.364238,0.347826,0.331325,0.327381,0.347305,0.347305,0.347305,0.317647,0.278788,0.160221,0.263804,0.145251,0.25,0.130682,0.245614,0.13369,0.405405,0.260606,0.366667,0.228916,0.298701,0.169591,0.307692,0.16875,0.398693,0.260355,0.447368,0.301775,0.0612245,0.0585106,0.0723684,0.0322581,0.0679012,0.030303,0.0659341,0.0625,0.0625,0.0617978,0.0585106,0.0588235,0.0659341,0.0625,0.0659341,0.0625,0.0365854,0.0641711,0.0621469,0.0659341,0.0322581,0.0714286,0.0731707,0.0727273,0.0727273,0.0710059,0.079096,0.0266667,0.0697674,0.0697674,0.0473373,0.0815217,0.0591716,0.0591716,0.0617284,0.0971429,0.0971429,0.0828729,0.0828729,0.0591716,0.0837989,0.0837989,0.0543478,0.0833333,0.0833333,0.0815217,0.0689655,0.0670391,0.0617978,0.0659341,0.0681818,0.0677966,0.0681818,0.0677966,0.0681818,0.0681818,0.0659341,0.0659341,0.0659341,0.0659341,0.0322581,0.0310559,0.0727273,0.0828729,0.0828729,0.0727273,0.0727273,0.0710059,0.0731707,0.075,0.075,0.0621469,0.0695187,0.0695187,0.0722222,0.102703,0.105263,0.105263,0.0930233,0.0930233,0.100671,0.100671,0.081448,0.0611111,0.0558659,0.0694444,0.0727273
43-charge,0.0611111,0.38961,0.468966,0.380645,0.465753,0.3625,0.3625,0.712,1,0.267442,0.331288,0.229508,0.254237,0.254237,0.260116,0.260116,0.260116,0.260116,0.363057,0.373333,0.373333,0.35625,0.331325,0.327381,0.331361,0.331361,0.331361,0.309942,0.165746,0.280488,0.150838,0.265432,0.136364,0.251572,0.139037,0.191011,0.260606,0.405405,0.23494,0.299363,0.169591,0.234568,0.16875,0.307692,0.266272,0.401316,0.301775,0.447368,0.0612245,0.0585106,0.0723684,0.0322581,0.0679012,0.030303,0.0659341,0.0625,0.0625,0.0617978,0.0585106,0.0588235,0.0659341,0.0625,0.0659341,0.0625,0.0365854,0.0641711,0.0621469,0.0659341,0.0322581,0.0714286,0.0731707,0.0727273,0.0727273,0.0710059,0.079096,0.0266667,0.0697674,0.0697674,0.0473373,0.0815217,0.0591716,0.0591716,0.0617284,0.0847458,0.0847458,0.0710383,0.0710383,0.0591716,0.0837989,0.0837989,0.0543478,0.0833333,0.0833333,0.0815217,0.0628571,0.0611111,0.0617978,0.0659341,0.0681818,0.0677966,0.0681818,0.0677966,0.0681818,0.0681818,0.0659341,0.0659341,0.0659341,0.0659341,0.0322581,0.0310559,0.0727273,0.0710383,0.0710383,0.0727273,0.0727273,0.0710059,0.0731707,0.075,0.075,0.0621469,0.0695187,0.0695187,0.0722222,0.102703,0.105263,0.105263,0.0930233,0.0930233,0.100671,0.100671,0.081448,0.0611111,0.0558659,0.0694444,0.0727273
55,0.0597826,0.503448,0.339506,0.463087,0.313253,0.247191,0.233333,0.397436,0.267442,1,0.726562,0.42236,0.602837,0.421384,0.520548,0.361963,0.574468,0.396226,0.313253,0.320755,0.320755,0.307692,0.264045,0.261111,0.27933,0.27933,0.27933,0.252747,0.34375,0.20904,0.346154,0.208092,0.316129,0.180233,0.307229,0.180328,0.333333,0.211429,0.461538,0.3,0.307692,0.186047,0.317241,0.186335,0.482993,0.323171,0.391304,0.265537,0.0596026,0.0572917,0.0705128,0.0314465,0.0662651,0.0295858,0.0645161,0.0612245,0.0612245,0.0604396,0.0572917,0.0575916,0.0645161,0.0612245,0.0645161,0.0612245,0.0357143,0.0628272,0.0607735,0.0645161,0.0314465,0.0696203,0.0714286,0.0710059,0.0710059,0.0693642,0.0773481,0.025974,0.0681818,0.0681818,0.0462428,0.0797872,0.0578035,0.0578035,0.060241,0.0949721,0.0949721,0.0810811,0.0810811,0.0578035,0.0819672,0.0819672,0.0531915,0.0815217,0.0815217,0.0797872,0.0674157,0.0655738,0.0604396,0.0645161,0.0666667,0.0662983,0.0666667,0.0662983,0.0666667,0.0666667,0.0645161,0.0645161,0.0645161,0.0645161,0.0314465,0.030303,0.0710059,0.0810811,0.0810811,0.0710059,0.0710059,0.0693642,0.0714286,0.0731707,0.0731707,0.0607735,0.0680628,0.0680628,0.0706522,0.0890052,0.102564,0.102564,0.0909091,0.0909091,0.0980392,0.0980392,0.0848214,0.0597826,0.0546448,0.0748299,0.0710059
55-charge,0.0601093,0.339506,0.5,0.307229,0.466216,0.234637,0.234637,0.261628,0.331288,0.726562,1,0.461538,0.424051,0.461039,0.364198,0.398734,0.398734,0.435065,0.315152,0.322785,0.322785,0.309524,0.265537,0.26257,0.266667,0.266667,0.266667,0.247253,0.20904,0.275449,0.208092,0.276074,0.180233,0.246914,0.180328,0.30303,0.205714,0.271084,0.3,0.457746,0.180233,0.309677,0.180124,0.25,0.323171,0.402597,0.259887,0.327381,0.06,0.0575916,0.0709677,0.0316456,0.0666667,0.0297619,0.0648649,0.0615385,0.0615385,0.0607735,0.0575916,0.0578947,0.0648649,0.0615385,0.0648649,0.0615385,0.0359281,0.0631579,0.0611111,0.0648649,0.0316456,0.0700637,0.0718563,0.0714286,0.0714286,0.0697674,0.0777778,0.0261438,0.0685714,0.0685714,0.0465116,0.0802139,0.0581395,0.0581395,0.0606061,0.0833333,0.0833333,0.0698925,0.0698925,0.0581395,0.0824176,0.0824176,0.0534759,0.0819672,0.0819672,0.0802139,0.0617978,0.0601093,0.0607735,0.0648649,0.0670391,0.0666667,0.0670391,0.0666667,0.0670391,0.0670391,0.0648649,0.0648649,0.0648649,0.0648649,0.0316456,0.0304878,0.0714286,0.0698925,0.0698925,0.0714286,0.0714286,0.0697674,0.0718563,0.0736196,0.0736196,0.0611111,0.0684211,0.0684211,0.0710383,0.0894737,0.103226,0.103226,0.0914286,0.0914286,0.0986842,0.0986842,0.0852018,0.0601093,0.0549451,0.0753425,0.0714286
65,0.0575916,0.315789,0.349398,0.271186,0.30814,0.218085,0.218085,0.222826,0.229508,0.42236,0.461538,1,0.33908,0.370588,0.323699,0.35503,0.363095,0.396341,0.323529,0.323171,0.323171,0.317919,0.26087,0.258065,0.262032,0.262032,0.262032,0.243386,0.193548,0.194595,0.192308,0.19337,0.159341,0.160221,0.172775,0.198925,0.171123,0.177419,0.278107,0.310976,0.146739,0.178771,0.144509,0.151163,0.300578,0.302326,0.222222,0.228723,0.056962,0.039604,0.0609756,0.0301205,0.0574713,0.0284091,0.0459184,0.0436893,0.0436893,0.0416667,0.039604,0.039801,0.0459184,0.0436893,0.0459184,0.0436893,0.0402299,0.05,0.0418848,0.0459184,0.0301205,0.0666667,0.0625,0.0621469,0.0621469,0.0666667,0.0687831,0.0248447,0.0597826,0.0597826,0.0444444,0.0769231,0.0497238,0.0497238,0.0517241,0.0740741,0.0740741,0.0615385,0.0615385,0.0497238,0.0789474,0.0789474,0.0512821,0.0729167,0.0729167,0.0769231,0.0534759,0.0575916,0.0416667,0.0459184,0.0473684,0.0471204,0.0473684,0.0471204,0.0473684,0.0473684,0.0459184,0.0459184,0.0459184,0.0459184,0.0301205,0.0290698,0.0621469,0.0615385,0.0615385,0.0621469,0.0621469,0.0666667,0.0685714,0.0639535,0.0639535,0.0418848,0.0603015,0.0603015,0.0625,0.0858586,0.0981595,0.0981595,0.0874317,0.0874317,0.09375,0.09375,0.0775862,0.0575916,0.0526316,0.0714286,0.0621469
70,0.0585106,0.432258,0.284884,0.432258,0.283237,0.234973,0.221622,0.3875,0.254237,0.602837,0.424051,0.33908,1,0.729323,0.661765,0.477124,0.725191,0.516779,0.261364,0.266272,0.266272,0.256983,0.244565,0.241935,0.259459,0.259459,0.259459,0.234043,0.288235,0.165775,0.289157,0.163934,0.276074,0.15,0.270115,0.151832,0.309091,0.186813,0.392157,0.247059,0.283951,0.162011,0.291391,0.160714,0.414013,0.270115,0.365269,0.23913,0.0580645,0.0561224,0.06875,0.0306748,0.0647059,0.0289017,0.0631579,0.06,0.06,0.0591398,0.0561224,0.0564103,0.0631579,0.06,0.0631579,0.06,0.0348837,0.0615385,0.0594595,0.0631579,0.0306748,0.0679012,0.0697674,0.0693642,0.0693642,0.0677966,0.0756757,0.0253165,0.0726257,0.0726257,0.0451977,0.078125,0.0625,0.0625,0.0650888,0.0928962,0.0928962,0.0851064,0.0851064,0.0625,0.0802139,0.0802139,0.0520833,0.0797872,0.0797872,0.078125,0.0718232,0.0698925,0.0591398,0.0631579,0.0710383,0.0706522,0.0710383,0.0706522,0.0710383,0.0710383,0.0631579,0.0631579,0.0631579,0.0631579,0.0306748,0.0295858,0.0693642,0.0851064,0.0851064,0.0693642,0.0693642,0.0677966,0.0697674,0.0714286,0.0714286,0.0594595,0.0721649,0.0721649,0.0748663,0.0871795,0.1,0.1,0.0888889,0.0888889,0.0955414,0.0955414,0.0786026,0.0585106,0.0591398,0.0657895,0.0693642
70-charge,0.0585106,0.283237,0.315476,0.290698,0.321429,0.221622,0.234973,0.254237,0.254237,0.421384,0.461039,0.370588,0.729323,1,0.477124,0.661765,0.516779,0.725191,0.261364,0.266272,0.266272,0.256983,0.251366,0.248649,0.252688,0.252688,0.252688,0.234043,0.164894,0.165775,0.163043,0.163934,0.149171,0.15,0.151042,0.176471,0.19337,0.19337,0.245614,0.277108,0.168539,0.195402,0.167665,0.167665,0.268571,0.270115,0.245902,0.245902,0.0580645,0.0561224,0.06875,0.0306748,0.0647059,0.0289017,0.0631579,0.06,0.06,0.0591398,0.0561224,0.0564103,0.0631579,0.06,0.0631579,0.06,0.0348837,0.0615385,0.0594595,0.0631579,0.0306748,0.0679012,0.0697674,0.0693642,0.0693642,0.0677966,0.0756757,0.0253165,0.0726257,0.0726257,0.0451977,0.078125,0.0625,0.0625,0.0714286,0.0810811,0.0810811,0.0736842,0.0736842,0.0625,0.0802139,0.0802139,0.0520833,0.0797872,0.0797872,0.078125,0.0659341,0.0641711,0.0591398,0.0631579,0.0710383,0.0706522,0.0710383,0.0706522,0.0710383,0.0710383,0.0631579,0.0631579,0.0631579,0.0631579,0.0306748,0.0295858,0.0693642,0.0736842,0.0736842,0.0693642,0.0693642,0.0677966,0.0697674,0.0714286,0.0714286,0.0594595,0.0721649,0.0721649,0.0748663,0.0871795,0.1,0.1,0.0888889,0.0888889,0.0955414,0.0955414,0.0786026,0.0585106,0.0591398,0.0657895,0.0693642
78a,0.0597826,0.397436,0.261628,0.397436,0.260116,0.240223,0.226519,0.397436,0.260116,0.520548,0.364198,0.323699,0.661765,0.477124,1,0.72093,0.748031,0.541667,0.238636,0.242604,0.242604,0.234637,0.222826,0.22043,0.237838,0.237838,0.237838,0.212766,0.25731,0.144385,0.257485,0.142077,0.243902,0.127778,0.24,0.13089,0.403974,0.254438,0.357143,0.223529,0.378378,0.228916,0.394161,0.232258,0.379747,0.247126,0.464052,0.309942,0.0596026,0.0572917,0.0705128,0.0314465,0.0662651,0.0295858,0.0645161,0.0612245,0.0612245,0.0604396,0.0572917,0.0575916,0.0645161,0.0612245,0.0645161,0.0612245,0.0357143,0.0628272,0.0607735,0.0645161,0.0314465,0.0696203,0.0714286,0.0710059,0.0710059,0.0693642,0.0773481,0.025974,0.0742857,0.0742857,0.0462428,0.0797872,0.0639535,0.0639535,0.0666667,0.0949721,0.0949721,0.0869565,0.0869565,0.0639535,0.0819672,0.0819672,0.0531915,0.0815217,0.0815217,0.0797872,0.0734463,0.0714286,0.0604396,0.0645161,0.0726257,0.0722222,0.0726257,0.0722222,0.0726257,0.0726257,0.0645161,0.0645161,0.0645161,0.0645161,0.0314465,0.030303,0.0710059,0.0869565,0.0869565,0.0710059,0.0710059,0.0693642,0.0714286,0.0731707,0.0731707,0.0607735,0.0736842,0.0736842,0.0765027,0.0890052,0.102564,0.102564,0.0909091,0.0909091,0.0980392,0.0980392,0.08,0.0597826,0.0604396,0.0675676,0.0710059
78a-charge,0.0597826,0.260116,0.291667,0.267442,0.297619,0.226519,0.240223,0.260116,0.260116,0.361963,0.398734,0.35503,0.477124,0.661765,0.72093,1,0.541667,0.748031,0.238636,0.242604,0.242604,0.234637,0.229508,0.227027,0.231183,0.231183,0.231183,0.212766,0.143617,0.144385,0.141304,0.142077,0.127072,0.127778,0.130208,0.15508,0.261905,0.261905,0.222222,0.253012,0.236364,0.267081,0.24026,0.24026,0.245714,0.247126,0.317647,0.317647,0.0596026,0.0572917,0.0705128,0.0314465,0.0662651,0.0295858,0.0645161,0.0612245,0.0612245,0.0604396,0.0572917,0.0575916,0.0645161,0.0612245,0.0645161,0.0612245,0.0357143,0.0628272,0.0607735,0.0645161,0.0314465,0.0696203,0.0714286,0.0710059,0.0710059,0.0693642,0.0773481,0.025974,0.0742857,0.0742857,0.0462428,0.0797872,0.0639535,0.0639535,0.0731707,0.0828729,0.0828729,0.0752688,0.0752688,0.0639535,0.0819672,0.0819672,0.0531915,0.0815217,0.0815217,0.0797872,0.0674157,0.0655738,0.0604396,0.0645161,0.0726257,0.0722222,0.0726257,0.0722222,0.0726257,0.0726257,0.0645161,0.0645161,0.0645161,0.0645161,0.0314465,0.030303,0.0710059,0.0752688,0.0752688,0.0710059,0.0710059,0.0693642,0.0714286,0.0731707,0.0731707,0.0607735,0.0736842,0.0736842,0.0765027,0.0890052,0.102564,0.102564,0.0909091,0.0909091,0.0980392,0.0980392,0.08,0.0597826,0.0604396,0.0675676,0.0710059
78b,0.0597826,0.493151,0.331288,0.493151,0.329268,0.240223,0.226519,0.397436,0.260116,0.574468,0.398734,0.363095,0.725191,0.516779,0.748031,0.541667,1,0.72093,0.297619,0.304348,0.304348,0.292398,0.278409,0.275281,0.293785,0.293785,0.293785,0.266667,0.335404,0.202247,0.33758,0.201149,0.324675,0.187135,0.315152,0.186813,0.31677,0.191011,0.451389,0.291925,0.291139,0.165714,0.29932,0.164634,0.472973,0.315152,0.374233,0.244444,0.0596026,0.0572917,0.0705128,0.0314465,0.0662651,0.0295858,0.0645161,0.0612245,0.0612245,0.0604396,0.0572917,0.0575916,0.0645161,0.0612245,0.0645161,0.0612245,0.0357143,0.0628272,0.0607735,0.0645161,0.0314465,0.0696203,0.0714286,0.0710059,0.0710059,0.0693642,0.0773481,0.025974,0.0742857,0.0742857,0.0462428,0.0797872,0.0639535,0.0639535,0.0666667,0.0949721,0.0949721,0.0869565,0.0869565,0.0639535,0.0819672,0.0819672,0.0531915,0.0815217,0.0815217,0.0797872,0.0734463,0.0714286,0.0604396,0.0645161,0.0726257,0.0722222,0.0726257,0.0722222,0.0726257,0.0726257,0.0645161,0.0645161,0.0645161,0.0645161,0.0314465,0.030303,0.0710059,0.0869565,0.0869565,0.0710059,0.0710059,0.0693642,0.0714286,0.0731707,0.0731707,0.0607735,0.0736842,0.0736842,0.0765027,0.0890052,0.102564,0.102564,0.0909091,0.0909091,0.0980392,0.0980392,0.08,0.0597826,0.0604396,0.0675676,0.0710059
